Long,lat,fecha,NDVI,prec,suelos,dem,inundacion
-63.0050600165988,-33.2973089948667,09/01/15,0.3257904,52.7,3,121,0
-63.244478503278,-33.8435103935831,09/01/15,0.3886146,1.6,3,127,0
-62.4084328287931,-32.8390693335463,09/01/15,0.5642119,2.5,3,104,0
-63.338672718667,-33.841606401448,09/01/15,0.4064945,58.3,3,130,0
-62.9167702006128,-33.6588301008725,09/01/15,0.159059,25.2,3,122,0
-62.8056904940154,-33.589228978735,09/01/15,0.5441063,16.4,3,121,0
-62.9663707635627,-33.0088518771897,09/01/15,0.5609311,8.4,3,133,0
-62.7846041971735,-33.5572060653026,09/01/15,0.3765593,4.8,3,119,0
-62.7066718846116,-33.1743842163844,09/01/15,0.4925766,33.2,3,115,0
-63.8710905891673,-33.4285280159235,09/01/15,0.1968006,47.6,3,234,0
-62.9052189071432,-33.613755304788,09/01/15,0.5385613,6.9,3,122,0
-62.751364212728,-33.1391997645037,09/01/15,0.1890657,3.3,3,116,0
-63.5143488991653,-32.8452260947967,09/01/15,0.6058264,16.2,3,197,0
-62.9289159132244,-32.9753780380026,09/01/15,-0.05493863,3.8,3,127,1
-62.1792823414573,-33.4221217369541,09/01/15,0.3287886,3.2,3,116,0
-63.1952622276114,-33.7826028980231,09/01/15,0.5381941,2.9,3,129,0
-62.1511899893321,-32.9606089582233,09/01/15,0.1834495,3.7,3,86,0
-62.3077102484784,-32.8984301351015,09/01/15,0.2839424,8.9,3,94,0
-62.9716660046981,-33.7972564533608,09/01/15,0.274518,62.8,3,124,0
-63.1858671097224,-33.7711172573972,09/01/15,0.4403667,16.4,3,128,0
-62.8838964301012,-33.345425570134,09/01/15,0.2910207,70.7,3,117,0
-63.2477221897034,-33.8136904212694,09/01/15,0.3643916,3.7,3,125,0
-63.2951768671474,-33.7756916852024,09/01/15,0.4391832,10.1,3,127,0
-63.8741990553501,-33.3896052924645,09/01/15,0.355809,30.9,3,240,0
-62.978771842876,-33.0117946655595,09/01/15,0.2633303,41.5,3,133,0
-62.7778619429405,-33.5096364751049,09/01/15,0.646228,10.1,3,118,0
-63.9005902878925,-33.4968246310107,09/01/15,0.5454293,27.3,3,227,0
-63.504176641958,-32.9304184665038,09/01/15,0.4002375,2.8,3,196,0
-63.6951480803572,-32.9274231671507,09/01/15,0.1749615,4.4,3,236,0
-63.8506321251574,-33.4541604035427,09/01/15,0.3002718,1.8,3,223,0
-62.7703809415501,-33.5829962170769,09/01/15,0.1605811,4,3,117,0
-63.8266355897242,-33.3913617410117,09/01/15,0.6214023,14.9,3,228,0
-62.7846651355401,-33.5505547309699,09/01/15,0.3006414,10.7,3,119,0
-63.454622327833,-32.9538886495335,09/01/15,0.2274223,14.2,3,187,0
-63.1034897893736,-33.3382316079745,09/01/15,0.3175202,27,3,125,0
-62.7480248521448,-32.9327586137491,09/01/15,0.3625019,2.9,3,119,0
-62.9803837618132,-33.3884597801969,09/01/15,0.2428037,3.6,3,117,0
-62.9107531132663,-33.6385820097875,09/01/15,0.2224099,3.1,3,124,0
-63.7153600504317,-32.9053091374519,09/01/15,0.5328245,56.1,3,239,0
-63.5309209048315,-32.8500249618885,09/01/15,0.4335702,3.6,3,198,0
-62.8765619315698,-32.8235508547948,09/01/15,0.6430263,3.1,3,136,0
-63.1502556174025,-33.6898820180803,09/01/15,0.2361745,4.7,3,123,0
-63.4338280302539,-32.9324484806162,09/01/15,0.6064227,2.5,3,184,0
-63.8859317697551,-33.4277699934871,09/01/15,0.3179331,3.6,3,236,0
-62.1195216232473,-32.9558989126393,09/01/15,0.2781256,17.2,3,84,0
-63.7054741476027,-32.883011591015,09/01/15,0.6397765,3.7,3,240,0
-62.8458556409035,-33.3508842109979,09/01/15,0.4622768,6.8,3,116,0
-63.0303192084914,-33.6009580552264,09/01/15,0.218334,11.4,3,122,0
-63.0160831181134,-33.7475870111597,09/01/15,0.3541963,16.6,3,132,0
-63.7321117950983,-32.8991356245788,09/01/15,0.1787753,5.9,3,242,0
-63.8492739016683,-33.5431345265412,09/01/15,0.2792178,21.2,3,206,0
-63.3664385138717,-32.9779228460285,09/01/15,0.6169128,11,3,172,0
-62.8337897524156,-33.6238666912708,09/01/15,0.6245344,10.8,3,124,0
-63.6625154152233,-32.8597015672903,09/01/15,0.3437284,11.4,3,230,0
-63.002203609677,-33.804124094902,09/01/15,0.3700535,5.1,3,127,0
-63.1836903946346,-33.7317344080665,09/01/15,0.4704712,27.3,3,128,0
-63.271052292114,-33.8333734270635,09/01/15,0.2143669,41.8,3,127,0
-63.1870698887302,-33.7230442155813,09/01/15,0.1975356,6.8,3,126,0
-63.849348146917,-33.3773619068414,09/01/15,0.5574082,2.7,3,238,0
-62.9050772074058,-33.798517884556,09/01/15,0.2659435,6.8,3,130,0
-62.7931305578096,-32.9574193477128,09/01/15,-0.03729556,4.2,3,119,1
-62.9366349958506,-33.0756103121523,09/01/15,0.3137426,4.9,3,129,0
